@W: CG775 :"C:\Microsemi\Projects\cariomart_cc\component\Actel\DirectCore\CoreAPB3\4.1.100\rtl\vlog\core_obfuscated\coreapb3.v":13:0:13:7|Found Component CoreAPB3 in library COREAPB3_LIB
@W: CG360 :"C:\Microsemi\Projects\cariomart_cc\component\Actel\DirectCore\CoreAPB3\4.1.100\rtl\vlog\core_obfuscated\coreapb3.v":1495:0:1495:8|Removing wire CAPB3IlOI, as there is no assignment to it.
@W: CG133 :"C:\Microsemi\Projects\cariomart_cc\hdl\interrupt_generator_mux.v":13:22:13:27|Object PRDATA is declared but not assigned. Either assign a value or remove the declaration.
@W: CL260 :"C:\Microsemi\Projects\cariomart_cc\hdl\interrupt_generator_mux.v":37:4:37:9|Pruning register bit 31 of debounce_counter[31:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL260 :"C:\Microsemi\Projects\cariomart_cc\hdl\interrupt_generator_mux.v":37:4:37:9|Pruning register bit 30 of debounce_counter[30:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL260 :"C:\Microsemi\Projects\cariomart_cc\hdl\interrupt_generator_mux.v":37:4:37:9|Pruning register bit 29 of debounce_counter[29:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL260 :"C:\Microsemi\Projects\cariomart_cc\hdl\interrupt_generator_mux.v":37:4:37:9|Pruning register bit 28 of debounce_counter[28:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL246 :"C:\Microsemi\Projects\cariomart_cc\hdl\interrupt_generator_mux.v":10:17:10:21|Input port bits 31 to 8 of PADDR[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"C:\Microsemi\Projects\cariomart_cc\hdl\interrupt_generator_mux.v":11:22:11:27|Input port bits 31 to 1 of PWDATA[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL157 :"C:\Microsemi\Projects\cariomart_cc\component\work\cariomart_mss\MSS_CCC_0\cariomart_mss_tmp_MSS_CCC_0_MSS_CCC.v":62:7:62:18|*Output RCOSC_CLKOUT has undriven bits; assigning undriven bits to 0.  Simulation mismatch possible. Assign all bits of the output.
@W: CL157 :"C:\Microsemi\Projects\cariomart_cc\component\work\cariomart_mss\MSS_CCC_0\cariomart_mss_tmp_MSS_CCC_0_MSS_CCC.v":63:7:63:20|*Output MAINXIN_CLKOUT has undriven bits; assigning undriven bits to 0.  Simulation mismatch possible. Assign all bits of the output.
@W: CL157 :"C:\Microsemi\Projects\cariomart_cc\component\work\cariomart_mss\MSS_CCC_0\cariomart_mss_tmp_MSS_CCC_0_MSS_CCC.v":64:7:64:18|*Output LPXIN_CLKOUT has undriven bits; assigning undriven bits to 0.  Simulation mismatch possible. Assign all bits of the output.

